I-J-K: 1-2-45, True, tested images: 0, ncex=18, covered=156, not_covered=0, d=0.00899662089521, 9:9-9
I-J-K: 1-2-46, True, tested images: 0, ncex=18, covered=157, not_covered=0, d=0.0259043011855, 1:1-1
I-J-K: 1-2-47, True, tested images: 0, ncex=18, covered=158, not_covered=0, d=0.0834333799677, 5:5-5
I-J-K: 1-2-48, True, tested images: 0, ncex=18, covered=159, not_covered=0, d=0.127339015988, 3:3-3
I-J-K: 1-2-49, True, tested images: 0, ncex=18, covered=160, not_covered=0, d=0.086836846996, 3:3-3
I-J-K: 1-2-50, True, tested images: 0, ncex=18, covered=161, not_covered=0, d=0.0361067839703, 1:1-1
I-J-K: 1-2-51, True, tested images: 0, ncex=18, covered=162, not_covered=0, d=0.0710858369066, 3:3-3
I-J-K: 1-2-52, True, tested images: 0, ncex=18, covered=163, not_covered=0, d=0.110421586691, 1:1-1
I-J-K: 1-2-53, True, tested images: 0, ncex=18, covered=164, not_covered=0, d=0.0304185813346, 2:2-2
I-J-K: 1-2-54, True, tested images: 0, ncex=18, covered=165, not_covered=0, d=0.0403953630623, 3:3-3
I-J-K: 1-3-0, True, tested images: 0, ncex=18, covered=166, not_covered=0, d=0.157356281323, 8:8-8
I-J-K: 1-3-1, True, tested images: 0, ncex=18, covered=167, not_covered=0, d=0.0739747683238, 0:0-0
I-J-K: 1-3-2, True, tested images: 0, ncex=18, covered=168, not_covered=0, d=0.00862720697866, 5:5-5
I-J-K: 1-3-3, True, tested images: 0, ncex=19, covered=169, not_covered=0, d=0.106276845324, 1:1-8
I-J-K: 1-3-4, True, tested images: 0, ncex=19, covered=170, not_covered=0, d=0.0607471356266, 2:2-2
I-J-K: 1-3-5, True, tested images: 0, ncex=19, covered=171, not_covered=0, d=0.0934639725124, 1:1-1
I-J-K: 1-3-6, True, tested images: 0, ncex=19, covered=172, not_covered=0, d=0.128904229763, 1:1-1
I-J-K: 1-3-7, True, tested images: 0, ncex=19, covered=173, not_covered=0, d=0.089418014699, 3:3-3
I-J-K: 1-3-8, True, tested images: 0, ncex=19, covered=174, not_covered=0, d=0.123573579405, 3:3-3
I-J-K: 1-3-9, True, tested images: 0, ncex=19, covered=175, not_covered=0, d=0.132579420867, 6:6-6
I-J-K: 1-3-10, True, tested images: 0, ncex=19, covered=176, not_covered=0, d=0.107096833768, 5:5-5
I-J-K: 1-3-11, True, tested images: 0, ncex=19, covered=177, not_covered=0, d=0.0608012367229, 3:3-3
I-J-K: 1-3-12, True, tested images: 0, ncex=19, covered=178, not_covered=0, d=0.107770657718, 2:2-2
I-J-K: 1-3-13, True, tested images: 0, ncex=19, covered=179, not_covered=0, d=0.0492401153417, 5:5-5
I-J-K: 1-3-14, True, tested images: 0, ncex=19, covered=180, not_covered=0, d=0.11818222294, 8:8-8
I-J-K: 1-3-15, True, tested images: 0, ncex=19, covered=181, not_covered=0, d=0.0719471615698, 6:6-6
I-J-K: 1-3-16, True, tested images: 0, ncex=19, covered=182, not_covered=0, d=0.0536096413295, 9:9-9
I-J-K: 1-3-17, True, tested images: 0, ncex=19, covered=183, not_covered=0, d=0.133161069867, 8:8-8
I-J-K: 1-3-18, True, tested images: 0, ncex=19, covered=184, not_covered=0, d=0.0553355713783, 9:9-9
I-J-K: 1-3-19, True, tested images: 0, ncex=19, covered=185, not_covered=0, d=0.0813611720533, 7:7-7
I-J-K: 1-3-20, True, tested images: 0, ncex=19, covered=186, not_covered=0, d=0.0371769699803, 8:8-8
I-J-K: 1-3-21, True, tested images: 0, ncex=19, covered=187, not_covered=0, d=0.0988519501123, 8:8-8
I-J-K: 1-3-22, True, tested images: 0, ncex=19, covered=188, not_covered=0, d=0.0697371209492, 3:3-3
I-J-K: 1-3-23, True, tested images: 0, ncex=20, covered=189, not_covered=0, d=0.199856632188, 0:0-8
I-J-K: 1-3-24, True, tested images: 0, ncex=20, covered=190, not_covered=0, d=0.0970497823635, 0:0-0
I-J-K: 1-3-25, True, tested images: 0, ncex=20, covered=191, not_covered=0, d=0.119513519221, 2:2-2
I-J-K: 1-3-26, True, tested images: 0, ncex=20, covered=192, not_covered=0, d=0.0073257110678, 3:3-3
I-J-K: 1-3-27, True, tested images: 0, ncex=20, covered=193, not_covered=0, d=0.0723140554213, 1:1-1
I-J-K: 1-3-28, True, tested images: 0, ncex=20, covered=194, not_covered=0, d=0.0751426063162, 2:2-2
I-J-K: 1-3-29, True, tested images: 0, ncex=20, covered=195, not_covered=0, d=0.115539788008, 5:5-5
I-J-K: 1-3-30, True, tested images: 0, ncex=20, covered=196, not_covered=0, d=0.066047461583, 0:0-0
I-J-K: 1-3-31, True, tested images: 0, ncex=20, covered=197, not_covered=0, d=0.0238666305731, 0:0-0
